policy_id,customer_id,product_id,year,premium,interest_rate,age,income,risk_score,retirement_horizon,product_type,risk_level,avg_return,fee_percent,liquidity
1,923,2,2015,10179.805027890952,0.25,48,43535.89805397154,3,3,variable,high,0.07,0.025,high
2,819,2,2024,13132.676044326485,5.25,37,54236.55707690265,3,13,variable,high,0.07,0.025,high
3,832,2,2015,23849.664160476343,0.25,71,56026.29774102075,1,4,variable,high,0.07,0.025,high
4,52,3,2020,27985.666731105903,0.25,67,83898.44269729992,5,19,indexed,medium,0.05,0.015,medium
5,209,3,2015,31209.36512406246,0.25,50,63142.17389006639,6,17,indexed,medium,0.05,0.015,medium
6,550,1,2019,35696.28586939493,2.5,55,40484.50985218091,5,21,fixed,low,0.03,0.01,low
7,612,2,2018,19325.53441444818,2.0,74,98423.35241138082,5,18,variable,high,0.07,0.025,high
8,705,1,2019,31936.11755172588,2.5,66,59391.193369944674,1,34,fixed,low,0.03,0.01,low
9,402,3,2021,16576.95156550851,0.25,62,68920.61910504251,4,13,indexed,medium,0.05,0.015,medium
10,191,3,2020,29020.91311588268,0.25,37,54707.1462739855,2,37,indexed,medium,0.05,0.015,medium
11,51,3,2023,22074.887978521816,5.0,57,51125.28970279019,1,10,indexed,medium,0.05,0.015,medium
12,393,1,2020,24456.77907081924,0.25,43,43709.9157847678,4,33,fixed,low,0.03,0.01,low
13,653,3,2023,24235.078740220375,5.0,28,93431.65901488796,3,10,indexed,medium,0.05,0.015,medium
14,680,2,2018,3952.949902021879,2.0,66,23753.30832458556,7,26,variable,high,0.07,0.025,high
15,823,1,2015,8758.781411392267,0.25,60,23466.79965981553,2,34,fixed,low,0.03,0.01,low
16,621,3,2015,21025.414398175224,0.25,39,66660.24094232515,2,16,indexed,medium,0.05,0.015,medium
17,719,1,2024,3127.2092035883143,5.25,67,67235.71524523477,5,23,fixed,low,0.03,0.01,low
18,939,1,2021,28312.111031997556,0.25,71,53725.17445291419,8,15,fixed,low,0.03,0.01,low
19,300,3,2017,28715.559662881416,1.0,47,74322.213961622,1,21,indexed,medium,0.05,0.015,medium
20,622,3,2016,23271.7055287779,0.5,43,20000.0,6,1,indexed,medium,0.05,0.015,medium
21,196,1,2020,8788.659872420778,0.25,64,60125.690497837466,6,35,fixed,low,0.03,0.01,low
22,417,1,2020,33801.389388685144,0.25,59,68734.87081566964,5,22,fixed,low,0.03,0.01,low
23,664,3,2021,40372.10639718358,0.25,26,69249.30611605302,9,25,indexed,medium,0.05,0.015,medium
24,420,2,2019,21470.76827445974,2.5,52,56962.932765470134,7,22,variable,high,0.07,0.025,high
25,755,1,2022,25105.353784512365,3.0,71,71324.535297919,1,34,fixed,low,0.03,0.01,low
26,640,1,2021,22017.38654796044,0.25,67,53698.06533935781,2,4,fixed,low,0.03,0.01,low
27,617,2,2016,25303.691889987993,0.5,38,42230.735952823816,6,19,variable,high,0.07,0.025,high
28,522,3,2015,18804.41243373604,0.25,73,60695.51937586881,6,3,indexed,medium,0.05,0.015,medium
29,356,3,2023,19654.357601561966,5.0,38,89602.1758390923,9,4,indexed,medium,0.05,0.015,medium
30,148,2,2019,29057.176004973655,2.5,34,54773.418810970645,3,4,variable,high,0.07,0.025,high
31,365,3,2019,43456.24161896441,2.5,35,63555.6970765792,6,21,indexed,medium,0.05,0.015,medium
32,364,3,2024,5999.287655982613,5.25,66,85199.27004683176,3,17,indexed,medium,0.05,0.015,medium
33,971,1,2018,18961.87515597033,2.0,73,70301.09252704668,8,3,fixed,low,0.03,0.01,low
34,652,1,2016,8195.395147679179,0.5,71,56491.0234054098,2,39,fixed,low,0.03,0.01,low
35,702,1,2019,35920.24898576083,2.5,47,101786.85299703597,7,20,fixed,low,0.03,0.01,low
36,402,2,2016,14122.620306801015,0.5,62,68920.61910504251,4,13,variable,high,0.07,0.025,high
37,606,3,2021,5567.992062142061,0.25,71,78488.20374549988,6,20,indexed,medium,0.05,0.015,medium
38,492,3,2023,26381.869988485734,5.0,62,117684.64553147292,2,26,indexed,medium,0.05,0.015,medium
39,229,1,2023,37443.11114743111,5.0,64,20000.0,3,15,fixed,low,0.03,0.01,low
40,575,1,2020,26635.978685607628,0.25,71,94953.7492856597,8,38,fixed,low,0.03,0.01,low
41,852,2,2015,22047.978772819173,0.25,45,78720.71308967815,4,30,variable,high,0.07,0.025,high
42,537,3,2020,24091.409227759937,0.25,54,33216.76528927036,3,7,indexed,medium,0.05,0.015,medium
43,268,2,2019,34148.40662825554,2.5,36,60791.21516509124,4,34,variable,high,0.07,0.025,high
44,405,3,2018,11258.007299858502,2.0,46,48997.24577043862,2,1,indexed,medium,0.05,0.015,medium
45,793,2,2020,18881.52895913687,0.25,42,29413.033589732822,4,19,variable,high,0.07,0.025,high
46,11,1,2020,15473.098514904666,0.25,62,83891.26862368257,4,39,fixed,low,0.03,0.01,low
47,320,2,2020,8321.346927082897,0.25,74,56035.722031156794,3,17,variable,high,0.07,0.025,high
48,713,2,2016,16716.247405831975,0.5,44,54970.21485017019,3,1,variable,high,0.07,0.025,high
49,126,1,2021,31077.210959824486,0.25,44,59965.36603548786,4,9,fixed,low,0.03,0.01,low
50,306,3,2018,25666.021483927256,2.0,37,90459.61103819909,5,16,indexed,medium,0.05,0.015,medium
